pseudonym,Name,url,action/practices,Type,practices try to impact directly...,active across one...,name of place,part of group / network / ...,public contact,notes
0843290461,,,,,,,,,,
008120100864,,,,,,,,,,
05700772212,,,,,,,,,,
007038604869,,,,,,,,,,
009913418175,,,,,,,,,,
001811392305,,,,,,,,,,
02673331749,,,,,,,,,,
07951040618,,,,,,,,,,
08130311115,,,,,,,,,,
030674051,,,,,,,,,,
06308920206,,,,,,,,,,
01076068369,,,,,,,,,,
04431920023,,,,,,,,,,
0661648236,,,,,,,,,,
